Date,,Bank rate,Chartered bank administered interest rates - Prime rate 1,Chartered bank - consumer loan rate 1,"Forward premium or discount (-), United States dollars in Canada: 1 month (Terminated)","Forward premium or discount (-), United States dollars in Canada: 3 month (Terminated)",Prime corporate paper rate: 1 month (Terminated) 2 3,Prime corporate paper rate: 2 month (Terminated) 2 3,Prime corporate paper rate: 3 month (Terminated) 2 3,Bankers' acceptances: 1 month (Terminated) 3 4,Bankers' acceptances: 2 month (Terminated) 3 4,Bankers' acceptances: 3 month (Terminated) 3 4,"Overnight money market financing, 7 day average 5",Selected Government of Canada benchmark bond yields: 2 year,Selected Government of Canada benchmark bond yields: 3 year,Selected Government of Canada benchmark bond yields: 5 year,Selected Government of Canada benchmark bond yields: 7 year,Selected Government of Canada benchmark bond yields: 10 year,Selected Government of Canada benchmark bond yields: long term,"Government of Canada marketable bonds, average yield: 1-3 year 6","Government of Canada marketable bonds, average yield: 3-5 year 6","Government of Canada marketable bonds, average yield: 5-10 year 6","Government of Canada marketable bonds, average yield: over 10 years 6",Chartered banks - 90 day term deposits 1,Chartered bank - conventional mortgage: 1 year 1,Chartered bank - conventional mortgage: 3 year 1,Chartered bank - conventional mortgage: 5 year,Chartered bank - 5 year personal fixed term 1,"Chartered bank - daily interest savings (balance over $100,000) 1",Chartered bank - non-chequable savings deposit 1,Chartered bank - Guaranteed Investment Certificates: 1 year 1,Chartered bank - Guaranteed Investment Certificates: 3 year 1,Chartered bank - Guaranteed Investment Certificates: 5 year 1,Treasury Bills: 1 month,Treasury Bills: 2 month,Treasury Bills: 3 month,Treasury Bills: 6 month,Treasury Bills: 1 year,"Real return bonds, long-term",Contractual interest rate for new insured 5-year fixed rate mortgages,Benchmark qualifying mortgage rate 1
3-Jan-18,,1.25,3.2,9,..t,..t,1.39t,1.42t,1.49t,1.41t,1.45t,1.51t,0.9977,1.68,1.72,1.86,1.95,2.05,2.29,1.66,1.81,1.98,2.24,0.1,3.24,3.74,4.99,1.05,0.05,0.05,0.72,1.35,1.6,0.95,1.01,1.06,1.21,1.52,0.58,..,..
10-Jan-18,,1.25,3.2,9,..t,..t,1.46t,1.51t,1.56t,1.49t,1.53t,1.59t,0.9944,1.73,1.79,1.95,2.04,2.16,2.38,1.71,1.88,2.07,2.33,0.1,3.24,3.74,4.99,1.05,0.05,0.05,0.72,1.35,1.6,0.94,1.04,1.17,1.38,1.62,0.63,..,..
17-Jan-18,,1.5,3.2,9,..t,..t,1.47t,1.52t,1.57t,1.52t,1.57t,1.62t,1.0327,1.78,1.83,2,2.1,2.2,2.34,1.73,1.94,2.12,2.31,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.72,1.35,1.6,1,1.13,1.18,1.35,1.6,0.59,..,..
24-Jan-18,,1.5,3.45,9,..t,..t,1.47t,1.52t,1.57t,1.50t,1.54t,1.60t,1.2398,1.81,1.87,2.05,2.15,2.26,2.37,1.77,1.98,2.18,2.35,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.72,1.35,1.6,1.11,1.13,1.21,1.36,1.62,0.6,..,..
31-Jan-18,,1.5,3.45,9,..t,..t,1.47t,1.53t,1.57t,1.52t,1.56t,1.62t,1.2461,1.84,1.96,2.08,2.19,2.29,2.36,1.79,2.01,2.21,2.35,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.72,1.35,1.6,1.12,1.15,1.2,1.34,1.61,0.6,..,..
7-Feb-18,,1.5,3.45,9,..t,..t,1.46t,1.51t,1.56t,1.48t,1.56t,1.61t,1.2436,1.85,1.99,2.13,2.25,2.38,2.47,1.81,2.05,2.28,2.46,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.72,1.35,1.6,1.13,1.17,1.2,1.36,1.62,0.72,..,..
14-Feb-18,,1.5,3.45,9,..t,..t,1.45t,1.50t,1.54t,1.49t,1.56t,1.61t,1.2401,1.82,1.95,2.1,2.23,2.37,2.5,1.78,2.02,2.26,2.49,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.73,1.35,1.6,1.12,1.15,1.15,1.32,1.59,0.74,..,..
21-Feb-18,,1.5,3.45,9,..t,..t,1.47t,1.50t,1.54t,1.50t,1.56t,1.62t,1.2393,1.84,1.95,2.14,2.21,2.34,2.48,1.79,2.02,2.24,2.46,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.73,1.35,1.6,1.12,1.14,1.16,1.32,1.6,0.71,..,..
28-Feb-18,,1.5,3.45,9,..t,..t,1.47t,1.50t,1.54t,1.51t,1.58t,1.64t,1.2367,1.78,1.89,2.04,2.11,2.23,2.37,1.74,1.94,2.14,2.35,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.73,1.35,1.6,1.12,1.14,1.14,1.28,1.6,0.59,..,..
7-Mar-18,,1.5,3.45,9,..t,..t,1.50t,1.53t,1.60t,1.54t,1.59t,1.65t,1.2416,1.77,1.88,2.04,2.11,2.23,2.41,1.75,1.98,2.16,2.37,0.1,3.34,4.15,5.14,1.05,0.05,0.05,0.73,1.35,1.6,1.1,1.08,1.11,1.28,1.56,0.66,..,..
