,Date,Real Return,One_Month,Two_Month,Three_Month,Six_Month,One_Year,Two_Year,Three_Year,Four_Year,Five_Year,Seven_Year,Ten_Year
0,3-Jan-18,0.58,0.95,1.01,1.06,1.21,1.52,1.67,1.72,1.81,1.86,1.9649999999999999,2.145
1,10-Jan-18,0.63,0.94,1.04,1.17,1.38,1.62,1.72,1.79,1.88,1.95,2.0549999999999997,2.245
2,17-Jan-18,0.59,1.0,1.13,1.18,1.35,1.6,1.755,1.83,1.94,2.0,2.1100000000000003,2.255
3,24-Jan-18,0.6,1.11,1.13,1.21,1.36,1.62,1.79,1.87,1.98,2.05,2.165,2.3049999999999997
4,31-Jan-18,0.6,1.12,1.15,1.2,1.34,1.61,1.815,1.96,2.01,2.08,2.2,2.3200000000000003
5,7-Feb-18,0.72,1.13,1.17,1.2,1.36,1.62,1.83,1.99,2.05,2.13,2.2649999999999997,2.42
6,14-Feb-18,0.74,1.12,1.15,1.15,1.32,1.59,1.8,1.95,2.02,2.1,2.245,2.43
7,21-Feb-18,0.71,1.12,1.14,1.16,1.32,1.6,1.815,1.95,2.02,2.14,2.225,2.4
8,28-Feb-18,0.59,1.12,1.14,1.14,1.28,1.6,1.76,1.89,1.94,2.04,2.125,2.29
9,7-Mar-18,0.66,1.1,1.08,1.11,1.28,1.56,1.76,1.88,1.98,2.04,2.135,2.3
10,14-Mar-18,0.59,1.07,1.08,1.07,1.27,1.58,1.7650000000000001,1.88,1.95,1.99,2.07,2.225
11,21-Mar-18,0.64,1.07,1.08,1.11,1.29,1.64,1.855,1.98,2.06,2.1,2.185,2.3049999999999997
12,28-Mar-18,0.55,1.09,1.08,1.09,1.3,1.62,1.795,1.92,1.97,2.0,2.0599999999999996,2.165
13,4-Apr-18,0.64,1.08,1.08,1.12,1.34,1.63,1.81,1.94,2.0,2.03,2.0999999999999996,2.23
14,11-Apr-18,0.61,1.1,1.13,1.14,1.33,1.63,1.8450000000000002,1.98,2.03,2.06,2.1399999999999997,2.25
15,18-Apr-18,0.64,1.18,1.17,1.2,1.37,1.65,1.88,2.01,2.09,2.13,2.215,2.32
16,25-Apr-18,0.72,1.17,1.17,1.2,1.33,1.62,1.9049999999999998,2.03,2.12,2.18,2.28,2.41
17,2-May-18,0.64,1.17,1.18,1.22,1.4,1.7,1.92,2.03,2.12,2.17,2.27,2.3899999999999997
18,9-May-18,0.62,1.15,1.17,1.21,1.37,1.71,1.93,2.05,2.14,2.2,2.295,2.41
19,16-May-18,0.69,1.13,1.15,1.25,1.44,1.76,2.03,2.16,2.26,2.32,2.415,2.51
